symbol,listing_date,ipo_price,offer_price_low,offer_price_high,sponsor,industry,public_subscription_multiple,one_lot_success_rate,source_url,source_note,collected_at
06082.HK,2026-01-02,19.6,,,"中国国际金融香港证券有限公司, 中国平安资本（香港）有限公司, 中银国际亚洲有限公司",半导体 / AI芯片,"2,346.5",5.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/6082-biren-tech,AAStocks + hkiporesearch.com,2026-06-17
02513.HK,2026-01-08,116.2,,,中国国际金融香港证券有限公司,人工智能 / 大语言模型,"1,158.5",5.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2513-knowledge-atlas,AAStocks + hkiporesearch.com,2026-06-17
02675.HK,2026-01-08,43.24,,,"摩根士丹利亚洲有限公司, 广发融资（香港）有限公司",医疗器械 / 手术机器人 / 生物科技,"1,090.9",0.5%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2675-edge-medical-b,AAStocks + hkiporesearch.com,2026-06-17
09903.HK,2026-01-08,144.6,,,华泰金融控股（香港）有限公司,半导体 / AI芯片 / 通用GPU,413.2,7.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/9903-iluvatar-corex,AAStocks + hkiporesearch.com,2026-06-17
00100.HK,2026-01-09,165,,,"中国国际金融香港证券有限公司, 瑞银证券香港有限公司",人工智能 / 大模型 / AI原生应用,"1,836.2",2.8%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/0100-minimax-wp,AAStocks + hkiporesearch.com,2026-06-17
03636.HK,2026-01-09,30,,,华泰金融控股（香港）有限公司,金属与矿业 / 铜,142.5,7.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/3636-jinxun-resource,AAStocks + hkiporesearch.com,2026-06-17
06938.HK,2026-01-09,57.97,,,"中国国际金融香港证券有限公司, 花旗环球金融亚洲有限公司",生物科技 / 生物制药,100.1,1.7%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/6938-ribolife-b,AAStocks + hkiporesearch.com,2026-06-17
00501.HK,2026-01-12,104.8,,,"UBS Securities Hong Kong Limited, 中国国际金融香港证券有限公司, 中国平安资本（香港）有限公司, 广发融资（香港）有限公司",半导体 / Fabless集成电路设计,8.3,100.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/0501-omnivision,AAStocks + hkiporesearch.com,2026-06-17
01641.HK,2026-01-13,12.26,,,"建银国际金融有限公司, 农银国际融资有限公司",冷链物流 / 冷冻食品仓储及门店租赁,"2,308.3",1.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/1641-hongxing-coldchain,AAStocks + hkiporesearch.com,2026-06-17
03986.HK,2026-01-13,162,,,"中国国际金融香港证券有限公司, 华泰金融控股（香港）有限公司",半导体 / 集成电路设计,541.2,2.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/3986-gigadevice,AAStocks + hkiporesearch.com,2026-06-17
08610.HK,2026-01-13,0.6,,,,,"10,744.1",0.1%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx,AAStocks Listed IPO page — automated scrape via fetch_aastocks.py,2026-06-16
09611.HK,2026-01-22,31,,,"花旗环球金融亚洲有限公司, 海通国际资本有限公司, 国泰君安融资有限公司",消费电子 / 智能设备ODM,"1,148.8",0.2%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/9611-longcheer,AAStocks + hkiporesearch.com,2026-06-17
01768.HK,2026-01-28,236.6,,,"高盛（亚洲）有限责任公司, 华泰金融控股（香港）有限公司",食品饮料零售 / 休闲食品饮料连锁零售,"1,898.5",3.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/1768-busyming,AAStocks + hkiporesearch.com,2026-06-17
09980.HK,2026-02-03,248,,,"华泰金融控股（香港）有限公司, 摩根士丹利亚洲有限公司, 瑞银证券香港有限公司",消费品 / 饮料,56.5,15.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/9980-eastroc-beverage,AAStocks + hkiporesearch.com,2026-06-17
02768.HK,2026-02-04,36,,,招商证券（香港）有限公司,化工新材料 / 大健康,"2,250.9",2.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2768-gon-technology,AAStocks + hkiporesearch.com,2026-06-17
02677.HK,2026-02-06,59.9,,,"海通国际资本有限公司, 浦银国际融资有限公司",医疗服务 / 私立医疗,"2,729.7",1.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2677-distinct-healthcare,AAStocks + hkiporesearch.com,2026-06-17
02714.HK,2026-02-06,39,,,"摩根士丹利亚洲有限公司, 中信证券（香港）有限公司, 高盛（亚洲）有限责任公司",食品 / 猪肉生产 / 生猪养殖,4.9,100.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2714-muyuan-foods,AAStocks + hkiporesearch.com,2026-06-17
03200.HK,2026-02-06,95.8,,,中国国际金融香港证券有限公司,电子设备 / PCB生产设备,445.4,10.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/3200-hans-cnc,AAStocks + hkiporesearch.com,2026-06-17
06809.HK,2026-02-09,106.89,,,"中国国际金融香港证券有限公司, 摩根士丹利亚洲有限公司, 瑞银证券香港有限公司",半导体 / 无晶圆厂IC设计 / 互连芯片,706.3,5.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/6809-montage-technology,AAStocks + hkiporesearch.com,2026-06-17
00600.HK,2026-02-10,28.2,,,"国泰君安融资有限公司, 华泰金融控股（香港）有限公司",科技 / 家庭机器人及智能家居系统,103.8,18.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/0600-onerobotics,AAStocks + hkiporesearch.com,2026-06-17
02720.HK,2026-02-10,12.25,,,中国国际金融香港证券有限公司,消费品 / 户外装备 / 钓鱼相关装备,"3,653.2",1.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2720-ridge-outdoor,AAStocks + hkiporesearch.com,2026-06-17
00470.HK,2026-02-11,45.8,,,"中信证券（香港）有限公司, J.P. Morgan Securities (Far East) Limited",智能装备 / 新能源装备,78.5,18.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/0470-wuxi-lead,AAStocks + hkiporesearch.com,2026-06-17
02706.HK,2026-02-13,27.06,,,"招银国际融资有限公司, 中银国际亚洲有限公司, 申万宏源融资（香港）有限公司",人工智能 / 知识图谱 / 企业级AI解决方案,"5,064.1",0.1%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2706-haizhi-tech-gp,AAStocks + hkiporesearch.com,2026-06-17
09981.HK,2026-02-13,20.09,,,"China Securities (International) Corporate Finance Company Limited, China Merchants Securities (HK) Co., Limited",电子通信 / 电力传输,568.6,0.3%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/9981-woer,AAStocks + hkiporesearch.com,2026-06-17
02649.HK,2026-03-09,11,,,China Securities (International) Corporate Finance Company Limited,循环包装服务 / 物流包装,"5,296.2",0.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2649-alsco-pooling,AAStocks + hkiporesearch.com,2026-06-17
02692.HK,2026-03-09,71.28,,,"China Merchants Securities (HK) Co., Limited, Deutsche Securities Asia Limited",集成式微型传动及驱动系统 / 精密部件 / 机器人部件,"1,535.8",4.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2692-zhaowei-machinery-electronics,AAStocks + hkiporesearch.com,2026-06-17
02715.HK,2026-03-09,15.36,,,Huatai Financial Holdings (Hong Kong) Limited,工业机器人 / 智能制造 / 自动化部件,18.7,5.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2715-estun-automation,AAStocks + hkiporesearch.com,2026-06-17
03268.HK,2026-03-10,28.86,,,中国国际金融香港证券有限公司,无线通信模组 / 物联网 / 智能网联汽车,173.1,5.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/3268-meig-smart-technology,AAStocks + hkiporesearch.com,2026-06-17
07489.HK,2026-03-19,,,,,,,,,Provisional listing_date from local ipo_universe coverage_start; verify all IPO fields against public sources before analysis. Do not fill missing values with zero.,2026-06-16
01989.HK,2026-03-20,71.88,,,"CITIC Securities (Hong Kong) Limited, HSBC Corporate Finance (Hong Kong) Limited",印刷电路板 / 高性能服务器PCB / 电子元件,"1,069.7",5.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/1989-delton-technology,AAStocks + hkiporesearch.com,2026-06-17
02701.HK,2026-03-23,10.8,,,中信证券（香港）有限公司,半导体 / 集成电路 / 锂电池材料,130.8,30.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2701-nsing-tech,AAStocks + hkiporesearch.com,2026-06-17
03355.HK,2026-03-23,41.6,,,"中国国际金融香港证券有限公司, 中信建投（国际）融资有限公司, 招商证券（香港）有限公司",网络设备 / 科技,"1,578.7",1.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/3355-fs-com,AAStocks + hkiporesearch.com,2026-06-17
02632.HK,2026-03-24,44.2,,,"海通国际资本有限公司, 中信证券（香港）有限公司",汽车电子 / HUD解决方案,67.9,30.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2632-new-vision-co,AAStocks + hkiporesearch.com,2026-06-17
02729.HK,2026-03-24,16.66,,,"国泰君安融资有限公司, 中信证券（香港）有限公司",智能场内物流机器人 / 工业自动化,"2,152.3",5.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2729-galaxis-tech,AAStocks + hkiporesearch.com,2026-06-17
01021.HK,2026-03-30,17,,,"中国国际金融香港证券有限公司, 德意志证券亚洲有限公司",协作机器人 / 工业自动化,"5,058.4",5.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/1021-huayan-robotics,AAStocks + hkiporesearch.com,2026-06-17
02526.HK,2026-03-30,99,,,华泰金融控股（香港）有限公司,医疗健康 / 医疗器械 / AI医学影像,"1,072.4",3.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2526-diagens-biotechnology,AAStocks + hkiporesearch.com,2026-06-17
02726.HK,2026-03-30,76.26,,,中国国际金融香港证券有限公司,半导体 / 半导体材料 / 碳化硅外延,49.7,20.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2726-epiworld,AAStocks + hkiporesearch.com,2026-06-17
06636.HK,2026-03-30,40,,,中信证券（香港）有限公司,人工智能 / 计算机视觉 / 企业级AI解决方案,"4,590.4",10.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/6636-extreme-vision,AAStocks + hkiporesearch.com,2026-06-17
00664.HK,2026-03-31,60,,,招银国际融资有限公司,文创工艺产品 / 铜质文创产品 / IP消费品,58.6,2.8%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/0664-tongshifu,AAStocks + hkiporesearch.com,2026-06-17
03625.HK,2026-03-31,40,,,"国泰君安融资有限公司, 东方融资（香港）有限公司",半导体 / 功放音频芯片 / 触觉反馈芯片,"3,117.4",5.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/3625-foursemi,AAStocks + hkiporesearch.com,2026-06-17
06656.HK,2026-04-16,324.2,,,"中信证券（香港）有限公司, 法国巴黎证券（亚洲）有限公司",可再生能源 / 储能 / 分布式储能系统,"1,101.1",2.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/6656-sigenergy,AAStocks + hkiporesearch.com,2026-06-17
00068.HK,2026-04-17,7.62,,,"J.P. Morgan Securities (Far East) Limited, 建银国际融资有限公司",软件 / 空间设计 / 人工智能,"1,589.6",3.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/0068-manycore-tech,AAStocks + hkiporesearch.com,2026-06-17
03277.HK,2026-04-17,39.88,,,"中信证券（香港）有限公司, 国泰君安融资有限公司",半导体 / CMOS图像传感器,"1,137.2",1.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/3277-gpixel,AAStocks + hkiporesearch.com,2026-06-17
02476.HK,2026-04-21,209.88,,,"摩根大通证券（远东）有限公司, 中信建投（国际）融资有限公司, 广发融资（香港）有限公司",电子 / 印刷电路板 / 人工智能与高性能计算,387.0,0.7%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2476-victory-giant,AAStocks + hkiporesearch.com,2026-06-17
03296.HK,2026-04-23,77.7,,,"China International Capital Corporation Hong Kong Securities Limited, Merrill Lynch (Asia Pacific) Limited",科技硬件 / 智能产品 / ODM,530.3,12.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/3296-huaqin,AAStocks + hkiporesearch.com,2026-06-17
01879.HK,2026-04-28,183.2,,,"China International Capital Corporation Hong Kong Securities Limited, Guotai Haitong Capital Limited, Haitong International Capital Limited",光电混合算力 / 光互连 / 光计算,"5,783.7",6.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/1879-xizhi-tech,AAStocks + hkiporesearch.com,2026-06-17
02493.HK,2026-04-28,27.64,,,"CITIC Securities (Hong Kong) Limited, Haitong International Capital Limited",生物科技 / 制药 / 抗体偶联药物,480.7,1.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2493-mabwell,AAStocks + hkiporesearch.com,2026-06-17
06810.HK,2026-04-29,24.86,,,"Deutsche Securities Asia Limited, CITIC Securities (Hong Kong) Limited, ABCI Capital Limited",商业物联网 / 智能设备 / PaaS平台,"2,002.2",5.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/6810-sunmi-tech,AAStocks + hkiporesearch.com,2026-06-17
01609.HK,2026-05-05,98.5,,,"CITIC Securities (Hong Kong) Limited, CCB International Capital Limited",医疗器械 / 运动医学 / 医疗植入物,"7,822.1",1.5%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/1609-star-sports-med,AAStocks + hkiporesearch.com,2026-06-17
01187.HK,2026-05-06,39.33,,,"Huatai Financial Holdings (Hong Kong) Limited, BNP Paribas Securities (Asia) Limited",医疗器械 / 家用医疗器械 / 康复及健康监测,398.1,5.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/1187-cofoe-medical,AAStocks + hkiporesearch.com,2026-06-17
01236.HK,2026-05-11,26.36,,,"海通国际资本有限公司, 国泰君安融资有限公司",智能机器人 / 视觉感知技术 / 割草机器人,"6,706.7",0.8%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/1236-ldrobot,AAStocks + hkiporesearch.com,2026-06-17
07630.HK,2026-05-13,20.1,,,"高盛（亚洲）有限责任公司, 中国国际金融香港证券有限公司",生物科技 / 肿瘤治疗 / 精准抗癌疗法,"2,281.4",1.5%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/7630-impact-therapeutics,AAStocks + hkiporesearch.com,2026-06-17
07666.HK,2026-05-13,10.5,,,,,"6,910.0",0.1%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx,AAStocks Listed IPO page — automated scrape via fetch_aastocks.py,2026-06-16
06871.HK,2026-05-18,30.5,,,农银国际融资有限公司,特专科技 / 工业机器人 / 综合机器人解决方案,"14,854.4",3.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/6871-robotphoenix,AAStocks + hkiporesearch.com,2026-06-17
01511.HK,2026-05-20,60.3,,,中信证券（香港）有限公司,软件服务 / 自动驾驶,"6,776.3",5.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/1511-uisee-tech,AAStocks + hkiporesearch.com,2026-06-17
07688.HK,2026-05-20,26.39,,,"国泰君安融资有限公司, 建银国际金融有限公司",高端智能制造装备 / 五轴数控机床,"3,763.6",8.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/7688-topnc,AAStocks + hkiporesearch.com,2026-06-17
06872.HK,2026-05-22,75.7,,,"中信证券（香港）有限公司, 农银国际融资有限公司",生物科技／抗菌疗法,"9,014.1",0.8%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/6872-tennor-therapeutics,AAStocks + hkiporesearch.com,2026-06-17
00901.HK,2026-05-27,32.8,,,中信建投（国际）融资有限公司,智慧家庭产品 / AI Home / 数字视讯及网络通信设备,"1,971.0",2.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/0901-sdmc-technology,AAStocks + hkiporesearch.com,2026-06-17
02723.HK,2026-05-27,55.5,,,工银国际融资有限公司,AI应用 / 智能营销服务,"5,479.2",1.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2723-beijing-deepzero-technology,AAStocks + hkiporesearch.com,2026-06-17
03310.HK,2026-05-27,20.81,,,"中国国际金融香港证券有限公司, 中信证券（香港）有限公司",半导体 / AMOLED显示驱动芯片 / Micro-OLED显示背板,"3,558.7",3.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/3310-viewtrix-technology,AAStocks + hkiporesearch.com,2026-06-17
03388.HK,2026-05-29,18.8,,,中国国际金融香港证券有限公司,消费级3D打印产品及服务,"3,828.4",3.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/3388-creality,AAStocks + hkiporesearch.com,2026-06-17
02553.HK,2026-06-03,14.6,,,越秀融资有限公司,碳捕集、利用及封存（CCUS）/ 合成生物技术,"1,420.5",2.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2553-shougang-lanza,AAStocks + hkiporesearch.com,2026-06-17
01081.HK,2026-06-05,66.4,,,"华泰金融控股（香港）有限公司, 招商证券（香港）有限公司",新能源／海上风电装备,133.4,3.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/1081-dajin,AAStocks + hkiporesearch.com,2026-06-17
01779.HK,2026-06-05,96.06,,,国金证券（香港）有限公司,生物科技／生物制药,"4,761.6",2.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/1779-longbio-b,AAStocks + hkiporesearch.com,2026-06-17
02290.HK,2026-06-05,5.18,,,星展亚洲融资有限公司,零售／美妆、保健及药品,663.9,5.0%,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx; https://www.hkiporesearch.com/zh-cn/ipo/2290-lung-fung-group,AAStocks + hkiporesearch.com,2026-06-17
